2018-12-17 17:14:06 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '123.56.23.0', 'port': '8118', 'protocol': 2, 'nick_type': 0, 'speed': 0.31, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 17:14:08 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '121.138.171.233', 'port': '8080', 'protocol': 2, 'nick_type': 0, 'speed': 0.35, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 17:14:10 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '219.234.5.128', 'port': '3128', 'protocol': 2, 'nick_type': 0, 'speed': 0.41, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 17:14:10 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '124.89.97.43', 'port': '80', 'protocol': 0, 'nick_type': -1, 'speed': 0.59, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 17:14:11 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '124.89.97.44', 'port': '80', 'protocol': 0, 'nick_type': -1, 'speed': 0.59, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 17:14:13 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '27.191.234.69', 'port': '9999', 'protocol': 2, 'nick_type': 0, 'speed': 0.7, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 17:14:15 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '114.217.58.223', 'port': '808', 'protocol': 2, 'nick_type': 0, 'speed': 0.4, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 17:14:17 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '112.102.62.113', 'port': '8888', 'protocol': 2, 'nick_type': 0, 'speed': 0.39, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 17:14:24 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '218.1.115.61', 'port': '80', 'protocol': 2, 'nick_type': 0, 'speed': 4.68, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 17:14:26 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '14.118.135.10', 'port': '808', 'protocol': 2, 'nick_type': 0, 'speed': 0.5, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 17:14:28 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '175.148.79.43', 'port': '1133', 'protocol': 2, 'nick_type': 0, 'speed': 1.12, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 17:14:29 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '115.159.31.195', 'port': '8080', 'protocol': 0, 'nick_type': -1, 'speed': 0.5, 'area': None, 'score': 50, 'disable_domains': []}
